file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0678_0089_671900_to_674766,ཨོ་ཙི་མིག་བཙུམས་ཟེར་ན་བཙུམས་དང་འགྲིག་གི་ཡོད་རེད།  ,o tsi mig btsums zer na btsums dang 'grig gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0678_0089_671900_to_674766.wav,STT_MV,3,50,2.866,wav16k/STT_MV0678_0089_671900_to_674766.wav,ཨ་ཙི། མིག་བཙུམས་ཟེར་ན་བཙུམ་དང་འགྲིག་གི་ཡོད་རེད།
STT_CS-D-2015-M-D-B03-2-R-03_0013_89153_to_95527,སྒྲུང་ཀློག་བསྡད་ད། ཉལ་ས་ཆེན་པོ་དེ་ཉལ་རེད་ད། ང་ཉལ་ས་དེ་ལ་ཤོང་གི་མི་འདུག ང་སྐྱིད་པོ་མི་འདུག་ལབ་རེད་ད། ཨ་ནས་གཞན་པ་གཅིག ,sgrung klog bsdad da/_nyal sa chen po de nyal red da/_nga nyal sa de la shong gi mi 'dug_nga skyid po mi 'dug lab red da/_a nas gzhan pa gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B03-2-R-03_0013_89153_to_95527.wav,STT_CS,3,116,6.374,wav16k/STT_CS-D-2015-M-D-B03-2-R-03_0013_89153_to_95527.wav,སྒྲུང་ལ་འདུག་ད། ཉལ་ས་ཆེན་པོ་དེ་ཉལ་རེད་ད། ང་ཉལ་ས་དེ་ལ་ཤོང་གི་མི་འདུག ང་སྐྱིད་པོ་མི་འདུག་ལབ་རེད་ད། ཨ་ནས་གཞན་པ་གཅིག
STT_NS_M0456_0262_2306578_to_2312022,ད་ལྟ་ཁོ་ཚོ་ད་ལོ་རིམ་དང་པོའི་སྐབས་སུ་ཨེ་ནས་ཪཱོམ་བགོ་བཤའ་བརྒྱབ་སོང་ང་ཚོ་ཨེ་ནས་ཪཱོམ་སྡོད་རོགས་མ་རག་ཡ་འདྲ་བོ་དང་ཡོད་བ།  ,da lta kho tsho da lo rim dang po'i skabs su e nas RA+om bgo bsha' brgyab song nga tsho e nas RA+om sdod rogs ma rag ya 'dra bo dang yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0456_0262_2306578_to_2312022.wav,STT_NS,3,116,5.444,wav16k/STT_NS_M0456_0262_2306578_to_2312022.wav,ད་ལྟ་ཁོ་ཚོ་ད་ལོ་རིམ་དང་པོ་སྐབས་སུ་ཨེ་ནས་རཱོམ་བགོ་བཤའ་བརྒྱབ་སོང་བ་ང་ཚོ། ཨེ་ནས་རཱོམ་བསྡོད་རོགས་མ་རག་ཡ་འདྲ་བོ་དང་ཡོད་བ།
STT_PC0165_0049_309733_to_312293,གཏུབ་དང་དེ་ཡོང་གི་མ་རེད་བ། ང་ཚོས་ད་ཚལ་འདྲ་ཟ་དུས་ཙམ་པ་ལ་ཡ་དེ་ནས།  ,gtub dang de yong gi ma red ba/_nga tshos da tshal 'dra za dus tsam pa la ya de nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0165_0049_309733_to_312293.wav,STT_PC,3,65,2.56,wav16k/STT_PC0165_0049_309733_to_312293.wav,གཏུབ་དང་དེ་ཡོང་གི་མ་རེད་བ། ང་ཚོས་ད་ཚེ་འདྲ་ཟ་དུས་ཙམ་པ་ལ་ཡ་དེ་ནས།
STT_MV0678_0133_973523_to_982325,ཨ་ནེ་ལགས།་ད་དུང་མ་ཕྱིན་པར་བྱས་ག་རེ་བྱེད་ཀི་ཡོད་ཡང་ཀཱོང་སློབ་གྲྭར་རྗེས་ལུས་ཐེབས་ཀི་རེད་གདའ། ཨོང་ ,a ne lags/ da dung ma phyin par byas ga re byed ki yod yang kA+ong slob grwar rjes lus thebs ki red gda'/_ong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0678_0133_973523_to_982325.wav,STT_MV,3,96,8.802,wav16k/STT_MV0678_0133_973523_to_982325.wav,ཨ་ནེ་ལགས། ད་དུང་མ་ཕྱིན་པ་བྱས་ག་རེ་བྱེད་ཀི་ཡོད་ ཡང་ཀཱོང་། སློབ་གྲྭ་རྗེས་ལུས་ཐེབས་ཀི་རེད་ད། ཨུ
STT_MV0678_0141_1044352_to_1050955,སློབ་གྲྭར་ལུས་རྩལ་འགྲན་ཚོགས་ཚོགས་ཀི་ཡོད་པ་འདི་ཨ་ནེ་ལགས་ལ་མ་བཤད་པར་བྱས་ག་རེ་བྱེད་གར་ཨ་ ,slob grwar lus rtsal 'gran tshogs tshogs ki yod pa 'di a ne lags la ma bshad par byas ga re byed gar a _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0678_0141_1044352_to_1050955.wav,STT_MV,3,86,6.603,wav16k/STT_MV0678_0141_1044352_to_1050955.wav,སློབ་གྲྭར་ལུས་རྩལ་འགྲན་ཚོགས་འཚོགས་ཀི་ཡོད་པ་དེ་ ཨ་ནེ་ལགས་ལ་མ་བཤད་པ་བྱས། ག་རེ་བྱེད་ཀ་ཨ།
STT_MV0678_0143_1061977_to_1071976,གལ་སྲིད་རང་ངར་ཡིད་ཆེས་ཡོད་ན་རང་གིས་ཨ་ནེ་ལགས་ལ་བཤད་མ་ཕོད་པའི་དོན་དག་འདི་ཚོ་ངར་བཤད་ན་འགྲིག་གི་རེད་བེ།  ,gal srid rang ngar yid ches yod na rang gis a ne lags la bshad ma phod pa'i don dag 'di tsho ngar bshad na 'grig gi red be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0678_0143_1061977_to_1071976.wav,STT_MV,3,101,9.999,wav16k/STT_MV0678_0143_1061977_to_1071976.wav,གལ་སྲིད་རང་ངར་ཡིད་ཆེས་ཡོད་ན། རང་གིས་ཨ་ནེ་ལགས་ལ་བཤད་མ་ཕོད་པའི་དོན་དག་དེ་ཚོ་ང་བཤད་ན་འགྲིག་གི་རེད་པེ།
STT_NS_M0514_0058_436352_to_440671,ག་འདྲའི་ལབ་ན་ད་ང་ཚོ་མཚམས་མཚམས་དྲང་པོ་བཤད་པ་འདྲ་བོ་ཅིག་ཡིན་ན་ང་ཚོ་ཨེ་འདྲའི་ད་ལབ་ཀི་ཡོད་རཱ་སྤྱི་ཚོགས་ནང་འགྲོ་དུས་ཙམ་པ་ལ།  ,ga 'dra'i lab na da nga tsho mtshams mtshams drang po bshad pa 'dra bo cig yin na nga tsho e 'dra'i da lab ki yod rA spyi tshogs nang 'gro dus tsam pa la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0514_0058_436352_to_440671.wav,STT_NS,3,120,4.319,wav16k/STT_NS_M0514_0058_436352_to_440671.wav,ག་འདྲའི་ལབ་ན་ད་ང་ཚོ་མཚམས་མཚམས་དྲང་པོ་བཤད་པ་འདྲ་བོ་ཅིག་ཡིན་ན། ང་ཚོ་ཨེ་འདྲའི་ད་ལབ་ཀི་གོ་རཱ། སྤྱི་ཚོགས་ནང་འགྲོ་དུས་ཙམ་པ་ལ།
STT_PC0167_0248_1528556_to_1532140,བཀའ་དྲིན་དྲན་ཤེས་ཟེར་ཡ་དེ་ཡོད་ཚར་དུས་ཙམ་པ་ལ་སྤྱིར་བཏང་མི་དེ་ཏོག་ཙི་ཅིག་དང་།  ,bka' drin dran shes zer ya de yod tshar dus tsam pa la spyir btang mi de tog tsi cig dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0167_0248_1528556_to_1532140.wav,STT_PC,3,77,3.584,wav16k/STT_PC0167_0248_1528556_to_1532140.wav,བཀའ་དྲིན་དྲན་ཤེས་ཟེར་ཡ་དེ་ཡོད་ཚར་དུས་ཙམ་པ་ལ། སྤྱིར་བཏང་མི་དེ་ཏོག་ཙི་ཅིག་ད།
STT_NS_M0455_0505_3436255_to_3438519,དང་ཤོས་མེ་བསྲེགས་བཏང་མྱི་འདི་ཡིན་པ། ཁྱེད་རང་ཧ་གོ་ཡི་ཡོད་བ།  ,dang shos me bsregs btang myi 'di yin pa/_khyed rang ha go yi yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0455_0505_3436255_to_3438519.wav,STT_NS,3,60,2.264,wav16k/STT_NS_M0455_0505_3436255_to_3438519.wav,དང་ཤོས་མེ་བསྲེགས་བཏང་མྱི་འདི་ཡིན་པ་ཁྱེད་རང་ཧ་གོ་ཡི་ཡོད་བ།
